Element,Intensity,Wavelength,Wavelength in NIST,Notes
,652.8614958448753,602.1725486432177,,
,652.8559556786704,697.6125388834896,,
,652.8504155124654,615.388232150133,,
,652.8421052631579,683.6132514738904,,
,652.8337950138504,682.1851876765916,,
,652.819944598338,750.4965071660736,,
,652.8060941828255,702.1039525589711,,
,652.803324099723,681.8280450887314,,
,652.803324099723,629.9991166222258,,
,652.8005540166205,688.8425391020096,,
,652.797783933518,699.9774671150252,,
,652.797783933518,685.3971904597511,,
,652.792243767313,669.6551617015293,,
,652.7894736842105,690.5041094838507,,
,652.786703601108,669.0569562749464,,
,652.7839335180056,706.8228467517652,,
,652.7839335180056,705.2902103816346,,
,652.7839335180056,700.0956536890651,,
,652.7839335180056,665.704433488587,,
,652.7839335180056,659.8270404749671,,
,652.7811634349031,677.8961381237142,,
,652.7811634349031,675.9875592071086,,
,652.775623268698,685.1594052165711,,
,652.7700831024931,606.3397330337359,,
,652.7590027700832,613.5564374965261,,
,652.7506925207756,705.7618938955793,,
,652.7479224376731,616.8528013380434,,
,652.7479224376731,591.7278492061846,,
,652.7451523545707,749.2236753212961,,
,652.7451523545707,710.0029185818113,,
,652.7423822714682,688.2488524285783,,
,652.7423822714682,586.6762306469844,,
,652.7340720221607,749.107927848686,,
,652.7257617728532,685.9915548519999,,
,652.7257617728532,666.4231984164538,,
,652.7229916897506,610.3784804714425,,
,652.7229916897506,608.1762455830931,,
,652.7202216066482,750.8435188676407,,
,652.7174515235457,752.8089117475579,,
,652.7119113573407,724.0857673692972,,
,652.7119113573407,712.826133742404,,
,652.7063711911358,682.8993209131078,,
,652.7063711911358,613.4342750984883,,
,652.7036011080332,669.2962551644807,,
,652.7008310249307,595.5415053661061,,
,652.6980609418282,664.8656215347355,,
,652.6842105263158,666.1836323449561,,
,652.6759002770083,744.0091929980047,,
,652.6675900277008,689.3173866552501,,
,652.6592797783934,669.4158962502981,,
,652.6537396121884,659.7069551473899,,
,652.6509695290858,669.8944048555511,,
,652.6454293628809,681.1136080414034,,
,652.6454293628809,601.6818888247755,,
,652.634349030471,589.8807185568267,,
,652.6315789473684,746.3282159725445,,
,652.6260387811634,675.2714723477765,,
,652.6260387811634,593.5737979655584,,
,652.6204986149585,679.8032811743276,,
,652.6121883656509,691.9274294597259,,
,652.6094182825485,662.8273740583008,,
,652.6038781163435,702.340114552878,,
,652.601108033241,753.0400218490549,,
,652.601108033241,699.0317692933332,,
,652.595567867036,715.1762804493889,,
,652.595567867036,679.5649668870221,,
,652.5927977839335,657.4242832730444,,
